"LL.1"	"LL.2"	"LL.3"	"MM.1"	"MM.2"	"MM.3"
"ECs_1355"	1467	1287	1529	2886	3534	4727
"ECs_1356"	1595	1471	1754	3515	4185	5863
"ECs_1358"	709	599	651	1395	1551	2178
"ECs_1360"	376	341	342	495	466	706
"ECs_1362"	80	65	107	81	87	124
"ECs_5708"	61	56	58	49	57	64
"ECs_1364"	152	140	141	95	120	170
"ECs_1365"	144	135	169	110	111	198
"ECs_1366"	369	336	363	371	423	653
"ECs_5414"	169	144	148	122	94	188
"ECs_1370"	131	106	105	123	120	202
"ECs_1372"	139	110	143	100	123	133
"ECs_1373"	227	230	276	286	362	414
"ECs_1374"	67	93	105	89	80	140
"ECs_1376"	1010	844	1026	235	241	371
"ECs_1377"	867	767	896	414	474	720
"ECs_1378"	1057	1051	1240	901	1143	1451
"ECs_5415"	507	455	495	356	425	566
"ECs_1380"	440	430	528	400	385	455
"ECs_1381"	41	34	37	33	45	60
"ECs_1382"	200	145	159	156	143	228
"ECs_1383"	114	92	99	100	114	173
"ECs_1386"	145	105	140	120	156	213
"ECs_1387"	56	35	35	48	31	81
"ECs_1388"	30	48	48	59	66	116
"ECs_1389"	51	32	43	56	27	69
"ECs_5709"	238	231	246	174	248	313
"ECs_1393"	139	118	141	104	143	142
"ECs_1394"	44	53	53	26	31	48
"ECs_1395"	34	29	41	23	40	41
"ECs_1396"	682	699	926	652	755	704
"ECs_1397"	316	253	282	353	391	566
"ECs_1398"	15	13	5	23	13	33
"ECs_1399"	83	55	80	88	83	132
"ECs_1401"	54	41	46	29	37	63
"ECs_1402"	54	65	63	57	67	60
"ECs_1403"	65	75	100	86	96	87
"ECs_1404"	126	114	113	132	187	226
"ECs_1405"	96	110	144	168	154	175
"ECs_1406"	51	42	46	41	60	82
"ECs_1407"	107	80	101	83	125	168
"ECs_1408"	36	51	48	69	77	102
"ECs_1409"	497	468	557	588	640	907
"serX"	257	223	296	152	175	288
"ECs_1410"	1654	1387	1703	1885	2272	2897
"ECs_1411"	3133	2689	3112	3992	4235	6383
"ECs_1412"	2698	2452	2783	3239	3474	5130
"ECs_1413"	2987	3278	3892	2295	2356	2332
"ECs_1414"	619	536	643	281	340	566
"ECs_1415"	17	18	14	26	25	85
"ECs_1416"	23	16	29	34	46	103
"ECs_1417"	110	108	130	203	217	446
"ECs_1419"	9	7	15	17	8	34
"ECs_1420"	34	35	42	42	61	116
"ECs_1421"	40	20	34	36	36	46
"ECs_1422"	201	180	191	84	79	101
"ECs_1423"	288	310	378	592	683	827
"ECs_1424"	556	372	448	818	749	1233
"ECs_1425"	1770	1790	1951	1088	1131	1718
"ECs_1426"	5883	4930	5837	7727	7488	10890
"ECs_1427"	10226	9772	11614	10375	10342	13286
"ECs_1428"	175	162	163	687	673	1266
"ECs_1429"	69	43	55	1477	1114	2688
"ECs_1431"	134	103	109	74	62	103
"ECs_1432"	2762	2247	2368	2636	1646	3821
"ECs_1433"	7780	7235	7731	6887	6588	11438
"ECs_1434"	497	471	579	2168	2589	3134
"ECs_1435"	114	136	165	575	517	593
"ECs_1436"	14	16	23	34	32	44
"ECs_1437"	1230	1092	1302	2319	2922	3406
"ECs_1438"	2685	2336	2792	4107	4365	5286
"ECs_1439"	714	703	899	1272	1363	2086
"ECs_1440"	1246	1248	1565	9738	8927	15064
"ECs_1441"	888	783	938	2100	2502	3292
"ECs_1442"	620	552	709	3746	4348	6101
"ECs_1443"	609	529	633	317	255	458
"ECs_1444"	504	420	459	657	765	1119
"ECs_1445"	332	258	319	479	504	731
"ECs_1446"	410	401	427	737	637	1008
"ECs_1447"	1920	1626	2032	1300	1315	1868
"ECs_1448"	294	252	236	410	562	438
"ECs_1449"	169	192	154	346	534	344
"ECs_1450"	125	122	132	196	185	307
"ECs_1451"	13	11	12	30	51	22
"ECs_1452"	12	13	7	22	40	22
"ECs_1453"	53	51	63	94	131	119
"ECs_1454"	156	128	156	318	410	415
"ECs_1455"	22	26	33	74	67	62
"ECs_1456"	86	79	75	106	145	141
"ECs_1457"	33	39	32	40	64	44
"ECs_1458"	43	41	41	72	68	76
"ECs_1459"	35	39	36	46	75	86
"ECs_1460"	505	354	251	794	1249	655
"ECs_1461"	913	835	821	1042	1578	1135
"ECs_1462"	25755	25289	30906	18992	20435	22902
"ECs_1464"	5596	4463	5036	2259	1821	3787
"ECs_1465"	1627	1511	1845	3985	4714	6673
"ECs_1466"	119519	114978	134262	51297	62385	85910
"ECs_1467"	48773	46069	54952	30212	37310	54013
"ECs_1468"	15002	13819	16071	11763	12688	18505
"ECs_1469"	10006	6948	7579	6802	3815	10337
"ECs_1470"	9698	8788	9851	10572	8856	12408
"ECs_1471"	25556	25285	34515	32590	30067	40792
"ECs_1472"	60405	54751	64145	62852	69262	102203
"ECs_1473"	37457	33754	38746	31611	31854	47921
"ECs_1474"	594	319	384	486	284	839
"ECs_1475"	1245	1154	1426	1050	1179	1517
"ECs_1476"	1860	1598	1889	1449	1594	2016
"ECs_1477"	2933	3018	3705	2374	2795	3283
"ECs_1478"	3571	3314	3819	6780	7914	10110
"ECs_1479"	35948	32567	37689	11291	11638	17528
"ECs_1480"	647	585	708	533	596	807
"ECs_1481"	1069	966	1123	2224	2761	3505
"ECs_1482"	859	769	905	1862	2284	2859
"ECs_1483"	856	913	1283	2661	2644	3068
"ECs_1484"	561	445	614	776	828	1135
"ECs_1485"	1347	1057	1261	1932	1890	2878
"ECs_1486"	983	787	868	1905	2123	3039
"ECs_1487"	4655	2902	3475	1666	1264	2576
"ECs_1488"	1311	1127	1300	1868	2790	1762
"ECs_1489"	559	518	495	696	676	969
"ECs_1490"	1060	1003	1311	386	476	736
"ECs_1491"	290	272	317	4171	3678	6412
"ECs_1492"	4843	4749	5998	9234	8644	11405
"ECs_1493"	90	83	104	106	155	172
"ECs_1494"	2615	2455	3026	2046	2032	2807
"ECs_1495"	1642	1447	1833	1494	1267	1850
"ECs_1496"	2888	2429	2646	2326	2482	3856
"ECs_1497"	1772	1500	1834	1949	2114	2869
"ECs_1498"	1661	1284	1438	2293	2103	3594
"ECs_1499"	4852	3964	4419	7752	8136	12556
"ECs_1500"	3020	2473	2897	2367	2519	3817
"ECs_1501"	301	249	289	413	524	740
"ECs_1502"	35	52	46	59	69	83
"ECs_1503"	79	75	102	127	137	231
"ECs_1504"	273	245	305	345	426	628
"ECs_1505"	139	133	162	121	126	229
"ECs_1506"	2943	2807	3526	2095	2516	3276
"ECs_1507"	57	65	74	28	48	78
"ECs_1508"	29	26	23	32	30	60
"ECs_1509"	39	35	45	73	60	88
"ECs_1510"	17	14	16	19	13	31
"ECs_1511"	28	15	19	28	36	59
"ECs_1512"	16	7	3	13	4	14
"ECs_1513"	4	5	7	8	12	10
"ECs_1514"	3	5	3	7	13	15
"ECs_1515"	16	15	19	18	9	28
"ECs_1516"	63	53	59	75	65	122
"ECs_1517"	13	8	14	8	12	22
"ECs_1518"	72	68	71	74	92	129
"ECs_5710"	83	61	95	87	69	110
"ECs_1520"	3535	3722	4792	2034	2363	3891
"ECs_1522"	153	106	134	76	105	144
"ECs_1523"	9	12	19	16	25	27
"ECs_1524"	370	274	336	445	523	749
"ECs_5711"	216	130	148	108	85	163
"ECs_5712"	287	159	183	164	159	369
"ECs_1527"	681	629	662	642	683	977
"ECs_1528"	11	14	8	17	9	20
"ECs_1529"	6	11	5	11	10	17
"ECs_1530"	4	3	6	6	1	14
"ECs_1531"	0	0	0	0	1	0
"ECs_1532"	50	42	52	51	68	72
"ECs_1533"	0	0	0	0	0	0
"ECs_5713"	0	0	0	0	0	0
"ECs_1534"	16	12	18	33	22	49
"ECs_1535"	0	0	0	0	0	0
"ECs_1536"	97	78	76	124	115	197
"ECs_1538"	116	79	89	82	70	113
"ECs_1539"	239	185	183	207	187	327
"ECs_1540"	3	5	5	2	1	1
"ECs_1541"	0	0	0	0	0	0
"ECs_1542"	0	0	0	0	1	0
"ECs_1543"	0	0	0	0	0	0
"ECs_5418"	0	2	7	6	2	3
"ECs_1544"	239	180	223	303	250	488
"ECs_1545"	29	17	16	48	26	83
"ECs_1546"	11	19	25	35	16	17
"ECs_1547"	35	23	31	71	29	67
"ECs_1548"	4	4	7	21	9	10
"ECs_1549"	62	66	66	89	61	160
"ECs_1550"	0	0	0	0	0	0
"ECs_1551"	0	0	0	0	0	0
"ECs_1552"	57	57	62	65	54	97
"ECs_1554"	10	6	2	16	20	17
"ECs_1555"	523	545	764	544	582	685
"ECs_1556"	1206	1125	1329	1086	1222	1807
"ECs_1557"	242	247	290	317	348	524
"ECs_1558"	39	36	60	53	37	42
"ECs_1559"	4	4	4	4	3	6
"ECs_5714"	0	0	1	0	1	0
"ECs_1560"	160	147	145	199	246	345
"ECs_1561"	695	556	645	403	430	764
"ECs_1563"	397	363	418	199	212	306
"ECs_1564"	717	590	680	719	799	960
"ECs_1565"	296	285	303	316	337	430
"ECs_1566"	180	151	173	183	219	297
"ECs_1567"	231	212	185	179	215	252
"ECs_1568"	805	686	779	503	558	650
"ECs_1570"	3178	2542	2905	2220	2403	3293
"ECs_1571"	17479	16037	17356	9650	11561	14376
"ECs_1572"	1085	1015	1125	3743	4053	5810
"ECs_1573"	4792	4476	5252	10233	11030	15709
"ECs_1574"	365	243	288	518	467	947
"ECs_1576"	3076	2635	3304	1825	2129	2963
"ECs_1577"	9	4	5	7	4	9
"ECs_1578"	2	3	2	3	2	2
"ECs_1579"	3	1	0	2	4	6
"ECs_1580"	3	3	5	9	12	8
"ECs_1581"	2	0	0	2	4	6
"ECs_1582"	82	48	52	95	69	177
"ECs_1586"	12	6	3	13	14	24
"ECs_1587"	7	6	8	11	4	21
"ECs_1588"	14	5	6	11	8	33
"ECs_1589"	152	138	173	327	410	569
"ECs_1590"	244	161	156	219	180	326
"ECs_1591"	57	39	44	68	44	111
"ECs_1592"	114	100	105	170	124	216
"ECs_1593"	22	19	22	33	34	53
"ECs_1594"	14	14	16	21	18	25
"ECs_1595"	55	53	55	78	91	124
"ECs_1597"	87	75	75	101	121	149
"ECs_1598"	509	408	537	634	530	918
"ECs_1599"	171	145	163	208	206	308
"ECs_1601"	3544	3124	3516	4406	4827	6402
"ECs_1602"	2217	1867	2042	4041	3806	5868
"ECs_1603"	9900	9058	10469	40514	40389	56124
"ECs_1604"	3805	4263	5753	4968	4607	5260
"ECs_1605"	27890	25567	29064	19022	21936	28699
"ECs_1606"	1911	1591	1874	1761	1811	2739
"ECs_1607"	2361	2361	2468	1871	1749	2678
"ECs_1608"	27858	26353	26836	110122	104474	166301
"ECs_1609"	147	124	126	178	200	209
"ECs_1610"	10	7	5	10	21	16
"ECs_1611"	33	31	24	45	45	54
"ECs_1612"	59	31	25	70	66	91
"ECs_1613"	12	11	23	37	48	54
"ECs_1614"	544	496	585	268	329	462
"ECs_1615"	137	99	127	108	96	188
"ECs_1616"	59	45	42	58	58	57
"ECs_1617"	1	1	1	4	2	2
"ECs_1618"	9	18	8	14	17	13
"ECs_1619"	15	14	24	29	29	37
"ECs_5715"	0	1	0	0	1	3
"ECs_1620"	53	35	43	78	87	88
"ECs_1621"	65	60	72	64	69	81
"ECs_1622"	115	124	135	87	134	163
"ECs_1623"	35	23	48	34	33	57
"ECs_1624"	0	0	0	0	0	0
"ECs_1625"	400	396	456	378	526	603
"ECs_1626"	37	46	39	20	15	31
"ECs_1627"	122	100	113	72	90	119
"ECs_1629"	110	69	63	75	56	144
"ECs_1630"	265	187	224	211	198	345
"ECs_1631"	0	0	0	0	0	0
"ECs_1632"	57	52	75	48	65	71
"ECs_1633"	0	0	0	0	0	0
"ECs_1634"	0	0	0	0	0	0
"ECs_1635"	0	0	0	0	1	0
"ECs_1636"	0	0	0	0	0	0
"ECs_1637"	11	13	16	22	25	22
"ECs_1638"	35	29	23	41	27	72
"ECs_1639"	37	37	40	53	61	94
"ECs_1640"	44	46	56	75	65	53
"ECs_1641"	40	25	40	47	65	76
"ECs_1642"	18	21	20	24	22	56
"ECs_1643"	186	172	215	317	239	296
"ECs_1644"	11	16	12	15	20	15
"ECs_1645"	51	37	44	56	54	83
"ECs_1646"	0	0	0	0	0	0
"ECs_1647"	31	32	27	52	41	72
"ECs_1648"	437	438	537	641	645	741
"ECs_1649"	23	16	31	39	27	58
"ECs_1650"	296	320	356	298	318	400
"ECs_1651"	100	78	92	100	108	159
"ECs_1652"	381	334	376	4407	4197	6291
"ECs_1653"	70	72	66	2032	2193	2778
"ECs_1654"	53	57	69	2678	3009	3519
"ECs_1655"	153	123	137	3889	4808	4596
"ECs_1656"	702	621	736	1702	1924	2677
"ECs_1657"	30	39	48	52	62	75
"ECs_1658"	4	6	7	5	8	7
"ECs_1659"	0	0	0	0	0	0
"ECs_1660"	29	25	38	22	26	31
"ECs_1662"	1214	1128	1461	1129	1319	1786
"ECs_1663"	839	706	869	1783	2006	3077
"ECs_1664"	4384	3643	4565	5120	5807	8573
"ECs_1665"	517	451	564	645	739	1037
"ECs_1666"	1309	1024	1262	1503	1557	2333
"ECs_1667"	3107	2073	2437	3246	2573	5004
"ECs_1668"	1589	1414	1764	2156	2452	3702
"ECs_1669"	6661	5818	7053	9580	10967	15745
"ECs_1670"	6646	5957	7184	6847	7851	11283
"ECs_1671"	470	338	423	792	650	1387
"ECs_1672"	246	227	288	323	308	537
"ECs_1673"	22	17	26	27	25	65
"ECs_1674"	2090	1846	2296	2421	2688	4315
"ECs_1675"	3458	3463	4277	7106	7629	10321
"ECs_1676"	3785	3358	3932	2717	2952	4851
"ECs_1677"	315	283	370	154	155	296
"ECs_1678"	364	276	467	402	403	783
"ECs_1679"	930	678	893	697	714	1427
"ECs_1680"	4952	4239	4962	4552	5599	6723
"ECs_1681"	7531	6586	7983	5062	6146	7747
"ECs_1682"	6126	5354	6574	5637	6333	8293
"ECs_1683"	669	647	681	19087	23404	32253
"ECs_1684"	1026	1014	1307	1817	1293	1914
"ECs_1685"	598	661	853	1052	794	988
"ECs_1686"	3006	2707	3450	4398	4695	6423
"ECs_1687"	1311	1120	1293	2027	2315	3369
"ECs_1688"	2495	1985	2462	2368	2503	4070
"ECs_1689"	747	683	722	916	1137	1095
"ECs_1690"	63	52	48	137	173	139
"ECs_1691"	269	216	166	698	966	684
"ECs_1692"	43	33	49	422	410	503
"ECs_1693"	226	218	211	400	446	585
"ECs_1694"	48	59	54	55	65	89
"ECs_1696"	101	89	136	116	127	185
"ECs_1697"	114	89	134	143	121	194
"ECs_1698"	167	146	152	171	180	253
"ECs_1699"	126	141	175	156	195	218
"ECs_5716"	18	8	12	6	3	9
"ECs_1701"	231	190	193	1046	1039	1664
"ECs_1703"	946	753	822	1111	1056	1707
"ECs_1704"	270	258	253	428	339	470
"ECs_1705"	690	580	538	1016	730	1224
"ECs_1707"	7110	5939	6133	11061	11878	17210
"ECs_1708"	31157	27603	29156	18804	20495	28153
"ECs_1709"	4510	4105	4444	3111	3560	4359
"ECs_1710"	442	432	506	1299	1614	2445
"ECs_1711"	12022	11081	13173	3850	4219	5352
"ECs_1712"	55516	50814	54736	60385	66466	86974
"ECs_1713"	6138	5713	6451	7584	7924	11324
"ECs_1714"	2846	2412	3047	4505	4795	7155
"ECs_1715"	13412	12624	16231	10010	10146	14077
"ECs_1716"	8479	8194	10379	6960	6939	9994
"ECs_1717"	3996	3651	5111	2846	2828	3860
"ECs_1718"	1291	1122	1340	680	730	1235
"ECs_1719"	9049	7828	9187	4834	5478	7697
"ECs_1720"	14326	13383	17026	14447	15076	21334
"ECs_5717"	607	842	1108	614	523	610
"ECs_5718"	417	431	529	394	407	522
"ECs_1721"	4705	4242	4598	11521	13842	16167
"ECs_1722"	169	148	158	1608	1789	2542
"ECs_1723"	1687	1428	1593	3663	3073	4370
"ECs_1724"	686	629	722	1650	1709	2546
"ECs_1725"	469	475	517	627	603	785
"ECs_1726"	2093	2075	2399	3427	3578	5022
"ECs_1727"	5194	5340	6428	5161	5542	7434
"ECs_1728"	200	145	133	269	273	377
"ECs_1729"	918	756	736	1004	1352	1282
"ECs_1730"	832	671	726	715	780	957
"ECs_1731"	158	161	208	201	172	223
"ECs_1732"	352	294	347	643	817	993
"tyrV"	5285	5082	6166	2874	3071	4599
"tyrT"	4871	4776	5794	3011	3018	4767
"ECs_1734"	4919	4036	4566	7930	6499	13762
"ECs_1735"	2859	2534	3034	2573	2726	4382
"ECs_1736"	3683	2991	3279	8678	8209	13556
"ECs_1737"	3020	2534	2943	10139	10460	15608
"ECs_1738"	9811	8452	9470	16548	18565	25332
"ECs_1739"	55290	50319	62175	66174	78886	114278
"ECs_1740"	1766	1645	1808	1446	1508	2375
"ECs_1741"	27325	24137	27326	96043	101337	128130
"ECs_1742"	2090	1711	1945	993	1172	1500
"ECs_1743"	4444	4134	4664	7442	9140	10546
"ECs_1744"	647	601	594	767	658	1092
"ECs_1745"	1501	1261	1431	1082	1080	1508
"ECs_1746"	1977	1711	1815	1359	1518	2037
"ECs_1747"	2830	2329	2568	1963	1995	3108
"ECs_1748"	3688	2498	2757	3528	1930	6502
"ECs_1749"	2747	2446	2644	3924	4084	5671
"ECs_1750"	1180	1140	1448	2030	2240	3506
"ECs_1751"	781	664	836	2631	2851	4653
"ECs_1752"	776	827	1174	1390	1325	1320
"ECs_1753"	4465	4092	4986	1993	2210	3309
"ECs_1754"	5793	5228	5757	4373	5406	6728
"ECs_1755"	8039	7023	7747	6237	6898	9106
"ECs_1756"	84	69	80	144	167	299
"ECs_1757"	195	167	224	413	466	755
"ECs_1758"	152	149	146	159	234	292
"ECs_1759"	400	336	535	603	530	1067
"ECs_1760"	9	5	24	12	9	46
"ECs_1761"	9	6	18	8	7	33
"ECs_1762"	67	74	196	85	92	275
"ECs_1763"	79	67	189	74	91	279
"ECs_1764"	135	107	160	121	147	251
"ECs_5719"	297	260	503	247	290	756
"ECs_1765"	1589	1478	1800	1092	1306	1822
"ECs_1766"	42	34	41	27	34	36
"ECs_1767"	333	322	355	323	417	531
"ECs_1768"	101	89	177	210	202	467
"ECs_1769"	43	40	60	59	57	142
"ECs_5720"	701	588	700	532	629	878
"ECs_5721"	60	48	83	82	68	131
"ECs_1772"	840	815	1015	579	647	976
"ECs_1773"	9600	9946	12701	12481	13646	22144
"ECs_1774"	77	105	96	57	76	87
"ECs_1775"	376	357	371	199	203	314
"ECs_1776"	327	289	392	176	202	271
"ECs_1777"	22	24	25	18	21	30
"ECs_1778"	169	155	160	105	129	195
"ECs_1779"	1216	1269	1532	934	1127	1699
"ECs_1780"	1424	1318	1586	808	860	1356
"ileZ3"	207	193	224	206	244	358
"argO3"	601	566	674	584	682	925
"ECs_1781"	109	99	123	49	60	81
"ECs_1782"	0	0	0	0	0	0
"ECs_1783"	0	0	0	0	0	0
"ECs_1784"	0	0	0	0	0	0
"ECs_1785"	0	0	0	0	0	0
"ECs_5722"	0	0	0	0	0	0
"ECs_1786"	1	0	0	0	0	0
"ECs_1787"	0	0	0	0	0	0
"ECs_1788"	0	0	0	0	0	0
"ECs_1789"	0	0	0	0	0	0
"ECs_1791"	32	21	10	22	23	15
"ECs_1792"	0	0	0	0	0	0
"ECs_1793"	21	24	7	28	28	17
"ECs_1794"	0	2	1	2	0	0
"ECs_1795"	0	0	0	0	0	0
"ECs_1796"	0	0	0	0	0	0
"ECs_1797"	0	0	0	0	0	0
"ECs_1798"	0	0	0	0	0	0
"ECs_1799"	2	0	0	1	0	0
"ECs_1800"	85	62	39	109	98	88
"ECs_1801"	0	0	0	0	0	0
"ECs_1802"	0	0	0	0	0	0
"ECs_1803"	31	17	12	29	13	11
"ECs_1804"	0	1	0	6	4	2
"ECs_1805"	21	31	20	75	58	43
"ECs_1806"	269	257	211	364	313	189
"ECs_1807"	103	114	55	87	100	77
"ECs_1808"	73	69	21	53	53	26
"ECs_1809"	22	20	12	23	19	21
"ECs_1811"	96	64	45	56	45	51
"ECs_1812"	344	333	180	552	616	457
"ECs_1813"	427	400	242	505	507	343
"ECs_1814"	695	651	324	2330	2684	1956
"ECs_1815"	258	168	93	362	271	303
"ECs_1816"	80	58	45	100	89	64
"ECs_1817"	225	200	136	360	379	283
"ECs_1818"	51	52	37	42	46	39
"ECs_1819"	0	0	0	0	1	0
"ECs_1820"	24	18	13	11	15	12
"ECs_1821"	412	394	223	340	400	296
"ECs_1823"	76	83	45	51	50	30
"ECs_1824"	953	893	450	1196	1396	1001
"ECs_1825"	1502	1045	709	2877	2685	2204
"ECs_1826"	317	224	145	355	388	282
"ECs_5723"	97	91	53	115	136	102
"ECs_1827"	40	42	24	67	52	15
"ECs_1828"	156	155	71	137	170	97
"ECs_5724"	100	90	55	65	80	44
"ECs_1829"	295	268	167	4632	6218	3311
"ECs_1830"	115	101	57	4997	6509	3375
"ECs_1831"	46	46	20	2547	3230	1980
"ECs_1832"	817	921	607	4661	5290	3163
"ECs_1833"	1277	1144	685	5815	6656	4991
"ECs_1834"	1285	1238	690	5637	7635	5144
"ECs_1835"	547	554	342	5399	8081	3997
"ECs_1836"	464	516	328	17829	24385	14044
"ECs_1837"	83	76	50	475	740	459
"ECs_1838"	2402	2742	1932	3938	3526	1971
"ECs_1839"	3652	3282	1830	4772	5442	3650
"ECs_1840"	1477	1286	764	1668	1823	1338
"ECs_1841"	28535	25612	19912	15085	15390	15111
"ECs_1842"	2099	1806	1120	2645	2709	2197
"ECs_1843"	1850	1688	965	2803	3153	2143
"ECs_1844"	3674	2481	1497	5541	4857	4267
"ECs_1845"	2774	2736	1550	3137	3913	2663
"ECs_1846"	65959	59871	36052	52832	55821	43701
"ECs_1847"	2424	2132	1823	12318	16832	11493
"ECs_5725"	654	694	404	426	562	420
"ECs_1848"	1983	1914	1027	1018	1327	950
"ECs_1849"	5302	4906	2752	17989	19239	12851
"ECs_1850"	4951	5254	2970	5469	6547	3964
"ECs_1851"	2704	2551	1458	5849	5536	3820
"ECs_1852"	3683	3566	2000	4031	4742	3221
"ECs_1853"	7960	7015	4065	7925	9236	6157
"ECs_1854"	8096	7714	4227	7019	6925	5912
"ECs_1855"	1637	1400	752	1967	1906	1503
"ECs_1856"	5600	4686	2097	13023	19483	7919
"ECs_1857"	3586	3329	1926	2168	2772	1568
"ECs_5432"	1304	1279	718	1103	1452	861
"ECs_1858"	2410	2201	1192	6105	6751	5612
"ECs_1859"	42414	39497	23220	52527	62712	42776
"ECs_1860"	653	630	333	23544	31050	19976
"ECs_1861"	32024	29288	16998	37826	42218	29216
"ECs_1862"	270	266	189	239	264	281
"ECs_1863"	153	132	94	184	198	168
"ECs_1864"	424	350	272	453	440	338
"ECs_1865"	198	172	121	257	264	198
"ECs_1866"	523	460	249	572	564	433
"ECs_1867"	1259	1168	765	1729	1614	1197
"ECs_1868"	1971	1759	1004	2250	2751	1815
"ECs_1869"	813	805	589	988	1005	584
"ECs_1870"	1548	1300	756	1595	1673	1181
"ECs_1871"	4272	4025	2510	5233	6266	3887
"ECs_1872"	2858	2733	1659	2938	3723	2392
"ECs_1873"	960	933	567	1709	2053	3488
"ECs_1874"	2421	2316	1604	7406	9828	20051
"ECs_1875"	219	195	190	2965	2614	9685
"ECs_1876"	856	703	421	2490	2561	5817
"ECs_1877"	101	130	141	2141	2015	3878
"ECs_1878"	74	73	60	1106	999	2022
"ECs_1879"	144	179	168	2210	2406	4250
"ECs_1880"	514	467	396	1208	1485	1357
"ECs_1881"	1214	1167	866	4127	4435	4217
"ECs_1882"	129	102	71	248	313	286
"ECs_1883"	197	219	108	404	468	525
"ECs_1884"	52	62	43	175	156	120
"ECs_1885"	304	318	188	910	927	766
"ECs_1886"	127	115	70	147	135	145
"ECs_1888"	49	34	19	45	38	36
"ECs_1890"	31	48	29	71	66	59
"ECs_1891"	90	74	37	124	126	87
"ECs_1892"	35	28	30	44	42	33
"ECs_1893"	39	38	16	59	47	44
"ECs_1894"	156	121	62	193	213	158
"ECs_1895"	318	255	135	433	448	324
"ECs_1896"	10	16	4	31	44	29
"ECs_1897"	51	42	21	32	41	36
"ECs_1898"	161	113	66	83	99	82
"ECs_1899"	778	731	460	990	1145	990
"ECs_1900"	796	740	458	2336	1926	1468
"ECs_1901"	649	615	384	1866	1305	1093
"ECs_1902"	3956	3781	3080	6515	6921	6553
"ECs_1903"	19358	17736	10421	27264	34905	21934
"ECs_1904"	1808	1608	1209	3047	3339	2661
"ECs_1905"	973	980	623	1672	1876	1353
"ECs_1906"	468	387	214	412	489	333
"ECs_1907"	195	123	71	290	245	240
"ECs_1909"	399	302	189	642	806	547
"ECs_1910"	409	348	188	510	589	368
"ECs_1911"	4764	4137	2296	5414	5598	4710
"ECs_1912"	9593	8317	5280	6047	6460	5576
"ECs_1913"	1404	1294	755	2884	3242	2521
"ECs_1914"	6728	5861	3462	10078	11195	7942
"ECs_1915"	26952	26665	14986	28145	29196	19860
"ECs_1916"	977	932	606	953	916	615
"ECs_1917"	424	365	248	873	980	672
"ECs_1918"	50	45	25	172	196	141
"ECs_1919"	0	0	0	0	0	0
"ECs_1920"	507	441	277	1974	2723	1460
"ECs_1921"	435	377	250	2696	3383	2132
"ECs_1922"	86	75	51	1527	1800	1131
"ECs_1923"	1466	1365	1019	2211	2506	1679
"ECs_1924"	2468	2161	1373	2356	2538	1899
"ECs_1925"	774	695	430	6660	7504	5856
"ECs_1926"	610	470	287	1221	728	831
"ECs_1927"	16428	14738	9451	13430	13566	11061
"ECs_1928"	8007	7073	4219	4516	4724	3882
"ECs_1929"	746	646	380	523	498	442
"ECs_1930"	9	7	2	4	7	5
"ECs_1931"	7	6	1	1	0	2
"ECs_1933"	131	87	45	87	106	79
"ECs_1934"	268	260	147	273	283	215
"ECs_1935"	28	20	11	6	9	11
"ECs_5726"	0	0	0	1	1	0
"ECs_1936"	6	3	1	4	3	6
"ECs_1937"	50	42	29	29	32	17
"ECs_1939"	3	2	1	2	3	4
"ECs_1940"	18	13	8	14	14	21
"ECs_1941"	2613	2149	1655	2414	3180	2612
"ECs_1942"	166	145	107	106	125	91
"ECs_1943"	72	76	47	252	294	213
"ECs_1944"	93	75	38	170	186	137
"ECs_1945"	46	45	25	69	63	49
"ECs_1946"	214	202	116	334	397	311
"ECs_1948"	12	11	7	42	37	40
"ECs_1949"	1	1	0	1	1	0
"ECs_1950"	7	2	1	0	1	1
"ECs_1951"	10	2	6	5	8	10
"ECs_1953"	3711	3230	1871	1824	1940	1575
"ECs_1954"	1519	1372	785	1434	1817	1294
"ECs_1955"	4295	3827	2115	4749	6253	4193
"ECs_1956"	342	262	176	183	173	150
"ECs_1957"	79	58	31	35	28	38
"ECs_1958"	297	191	102	201	157	149
"ileZ4"	1055	946	669	1373	1629	1223
"argO4"	229	178	126	458	579	375
"ECs_1959"	193	152	72	235	213	196
"ECs_1960"	246	204	133	260	266	220
"ECs_1961"	166	139	65	145	117	108
"ECs_1962"	41	28	19	36	18	36
"ECs_1963"	34	25	16	48	19	40
"ECs_1964"	0	0	0	0	0	0
"ECs_1965"	0	0	0	0	0	0
"ECs_1966"	0	0	0	0	0	0
"ECs_5727"	0	0	1	0	1	1
"ECs_1967"	0	0	0	0	0	0
"ECs_1968"	0	0	0	0	0	0
"ECs_1970"	0	0	0	0	0	0
"ECs_1971"	0	0	0	0	0	0
"ECs_1972"	0	0	0	0	0	0
"ECs_5438"	0	0	0	0	0	0
"ECs_1974"	16	4	8	33	16	47
"ECs_1975"	72	58	59	120	72	151
"ECs_1976"	5	8	2	10	6	12
"ECs_1977"	4	1	6	11	3	7
"ECs_1978"	10	6	9	18	14	21
"ECs_1979"	12	6	1	16	4	10
"ECs_1980"	64	53	49	77	70	96
"ECs_1981"	2	15	20	30	10	12
"ECs_1982"	6	1	4	8	3	3
"ECs_1983"	60	35	37	52	22	96
"ECs_1984"	4	1	0	0	0	8
"ECs_1985"	13	17	25	30	13	25
