"LL.1"	"LL.2"	"LL.3"	"MM.1"	"MM.2"	"MM.3"
"ECs_0135"	2732	2505	2997	3514	4246	5582
"ECs_0136"	278	211	250	273	325	507
"ECs_0137"	5624	5667	6870	9133	10033	11769
"ECs_0138"	2208	2155	2447	2965	3532	4460
"ECs_0139"	2008	1855	2127	1545	1978	2567
"ECs_0140"	151	111	131	138	142	163
"ECs_0141"	523	486	523	495	591	739
"ECs_0142"	169	152	187	143	170	186
"ECs_0143"	453	451	450	571	647	800
"ECs_0144"	88	71	68	61	78	62
"ECs_0145"	49	29	41	33	37	49
"ECs_0146"	550	587	622	627	657	998
"ECs_0147"	10887	12488	15058	10897	11391	12788
"ECs_0148"	1656	1659	1792	1355	1519	2013
"ECs_0149"	8814	8131	8006	14567	15377	22090
"ECs_0150"	398	263	318	1120	645	1867
"ECs_0151"	300	371	442	410	387	439
"ECs_0152"	2434	2559	3178	2587	2481	2830
"ECs_0153"	7390	7043	8390	9554	9826	12054
"ECs_0154"	963	874	1089	1739	2002	2028
"ECs_0155"	223	245	301	310	288	261
"ECs_0156"	148	109	151	158	134	206
"ECs_0157"	210	233	268	466	275	341
"ECs_0158"	3469	3954	4645	8084	7706	8541
"ECs_0159"	706	542	568	1613	1171	2270
"ECs_0160"	1879	1264	1417	1919	1673	3050
"ECs_0161"	1463	1299	1373	812	877	1195
"ECs_0162"	1390	1115	1273	1158	1368	1588
"ECs_0163"	3504	3094	3529	4924	5676	7001
"ECs_0164"	739	705	877	1455	1878	2357
"ECs_0165"	5145	4417	5615	12836	13833	16283
"ECs_0166"	308	236	297	528	492	757
"ECs_0167"	1138	997	1172	4118	5031	7431
"ECs_0168"	2728	2531	3158	7143	9000	11704
"ECs_0169"	2714	2371	3139	4569	4970	6706
"ECs_0170"	5332	4963	5830	5085	6090	7690
"ECs_0171"	257718	226370	246401	155644	181198	240760
"ECs_0172"	97204	83659	92942	59521	64359	94074
"ECs_0173"	8667	7643	8927	11595	10936	17017
"ECs_0174"	17630	16486	18000	19372	23154	30197
"ECs_0175"	2147	1733	1891	2316	2815	3190
"ECs_0176"	22041	17040	19070	13396	13200	21023
"ECs_0177"	11515	8668	9567	6978	6285	10773
"ECs_0178"	19396	15289	17791	14045	12319	21673
"ECs_0179"	56538	47832	55290	47538	48104	72778
"ECs_0180"	26643	23374	28032	26647	30237	42499
"ECs_0181"	19851	18634	22883	15960	16676	22583
"ECs_0182"	11008	9692	11406	7185	7981	10925
"ECs_0183"	13824	14102	17947	11501	11234	14549
"ECs_0184"	6520	6198	8100	6433	6385	8670
"ECs_0185"	2260	2113	2590	1657	1658	2269
"ECs_0186"	15097	14819	17935	14197	11731	16828
"ECs_0187"	11728	10787	13266	11625	11471	16571
"ECs_0188"	1206	886	1036	2041	1821	3033
"ECs_0189"	208	173	210	457	348	538
"ECs_0190"	765	814	1008	1055	801	958
"ECs_0191"	447	384	484	872	1145	1458
"ECs_5365"	659	555	638	1199	1587	1958
"ECs_0192"	938	841	1032	995	1170	1530
"ECs_0193"	420	420	487	655	727	873
"ECs_0194"	830	788	970	1492	1700	1970
"ECs_0195"	235	206	226	257	288	410
"ECs_0196"	13589	14185	16679	15752	15861	19554
"ECs_0197"	1433	1310	1486	1757	2273	2791
"ECs_0198"	1555	1743	2140	3641	3554	3911
"ECs_0199"	1810	1547	1895	19923	60341	38379
"ECs_0200"	597	525	585	3060	7007	5974
"ECs_0201"	878	755	970	4225	9605	8469
"ECs_0202"	1172	860	912	1230	950	1888
"rrsH"	6	162	4	9	0	10
"ileV"	0	0	0	0	0	0
"alaV"	0	0	0	0	0	0
"rrlH"	89	2970	37	65	18	116
"rrfH"	0	0	0	0	0	0
"aspU"	15	38	28	7	6	20
"ECs_0203"	1172	1010	1132	368	388	501
"ECs_0204"	1523	1260	1384	726	880	1104
"ECs_0205"	2036	1551	1671	2029	1937	3141
"ECs_0206"	1490	1347	1402	1156	1290	1893
"ECs_0207"	46328	44199	51898	68321	80551	109483
"ECs_0208"	934	896	1076	2239	2447	3830
"ECs_0209"	1216	1100	1270	1349	1609	2222
"ECs_0210"	1173	982	1212	992	1076	1654
