"gene_id","gene_name"
"mdtH",NA
"rluC",NA
"yceF",NA
"yceD",NA
"ptsG",NA
"ndh",NA
"bhsA",NA
"ldtC",NA
"ECs1520","ECs1520"
"ECs5711","ECs5711"
"ECs1563","ECs1563"
"potA",NA
"pepT",NA
"purB",NA
"icd",NA
"ECs1613","ECs1613"
"ECs1614","ECs1614"
"ECs1626","ECs1626"
"ECs1652","ECs1652"
"ECs1653","ECs1653"
"ECs1654","ECs1654"
"ECs1655","ECs1655"
"ECs1656","ECs1656"
"hlyE",NA
"ycgB",NA
"ycgR",NA
"ymgE",NA
"ECs5716","ECs5716"
"treA",NA
"ychH",NA
"dauA",NA
"ychQ",NA
"ychA",NA
"ldrB",NA
"chaA",NA
"chaB",NA
"tyrV",NA
"tyrT",NA
"rssA",NA
"rssB",NA
"adhE",NA
"ychE",NA
"yciI",NA
"yciA",NA
"ECs1775","ECs1775"
"ECs1776","ECs1776"
"ECs1780","ECs1780"
"ECs1781","ECs1781"
"nleH12",NA
"ECs1823","ECs1823"
"yciE2",NA
"yciF2",NA
"yciG",NA
"trpA",NA
"trpB",NA
"trpC",NA
"trpD",NA
"trpE",NA
"ECs1837","ECs1837"
"rluB",NA
"cysB",NA
"yciX",NA
"acnA",NA
"gmr",NA
"yciW",NA
"puuA",NA
"puuD",NA
"puuR",NA
"puuC",NA
"puuB",NA
"puuE",NA
"pspF",NA
"pspA",NA
"pspD",NA
"pspE",NA
"ycjU",NA
"ycjX",NA
"ECs1918","ECs1918"
"abgT",NA
"abgB",NA
"abgA",NA
"ydaM",NA
"ttcA",NA
"racC",NA
"ECs1937","ECs1937"
"ECs1943","ECs1943"
"ECs1948","ECs1948"
"ECs1953","ECs1953"
"ECs1956","ECs1956"
"ECs1957","ECs1957"
"ECs1989","ECs1989"
"uspF",NA
"ompN",NA
"ydbJ",NA
"ECs2007","ECs2007"
"ydbC",NA
"azoR",NA
"ECs2018","ECs2018"
"ydcF",NA
"aldA",NA
"gapC",NA
"ydcI",NA
"ydcJ",NA
"ydcH",NA
"ydcK",NA
"ydcL",NA
"ydcO",NA
"ydcS",NA
"ydcT",NA
"ydcU",NA
"ydcV",NA
"patD",NA
"mnaT",NA
"curA",NA
"mcbR",NA
"pptA",NA
"yddH",NA
"nhoA",NA
"narV",NA
"narW",NA
"narY",NA
"narG",NA
"narU",NA
"yddM",NA
"adhP",NA
"sra",NA
"bdm",NA
"osmC",NA
"ddpF",NA
"ddpD",NA
"ddpB",NA
"ddpA",NA
"ddpX",NA
"dosP",NA
"dosC",NA
"gadC",NA
"gadA",NA
"ydeM",NA
"ydeN",NA
"fimC",NA
"fmlA",NA
"lsrK",NA
"lsrR",NA
"lsrA",NA
"lsrC",NA
"lsrD",NA
"lsrB",NA
"lsrF",NA
"lsrG",NA
"tam",NA
"yneG",NA
"glsB",NA
"ydeA",NA
"ECs5444","ECs5444"
"ftrA",NA
"ydeI",NA
"ydeJ",NA
"ydfG",NA
"ydfJ",NA
"ECs2153","ECs2153"
