N_unmapped	5919085	5919085	5919085
N_multimapping	766660	766660	766660
N_noFeature	781902	12137028	12262162
N_ambiguous	3120949	1524027	1513108
ECs0001	923	487	437
ECs0002	1213	624	589
ECs0003	443	241	202
ECs0004	929	494	435
ECs0005	217	129	114
ECs0006	1196	627	595
ECs0007	228	109	121
ECs0008	14893	7375	7519
ECs0009	930	560	557
ECs0010	3236	1727	1695
ECs0012	54	33	21
ECs0013	43	21	22
ECs0014	15797	8017	7782
ECs0015	5016	2670	2603
ECs0016	2572	1437	1392
ECs0017	5103	2624	2479
ECs0018	1592	889	831
ECs0019	58	93	93
ECs0022	75	46	29
ECs0023	15	5	10
ECs0024	58	34	24
ECs0025	86	42	46
ECs0026	70602	35493	35112
ECs0028	5308	2765	2543
ECs0029	16831	8518	8314
ECs0030	2018	1048	970
ECs0031	1550	766	784
ECs0032	2274	1142	1132
ECs0033	566	276	291
ECs0034	373	178	195
ECs0035	526	259	267
ECs0036	1135	571	586
ECs5362	2	28	17
ECs0037	54	42	46
ECs0038	26	14	24
ECs0039	16	6	10
ECs0040	188	100	89
ECs0041	196	104	92
ECs0042	242	111	131
ECs0043	7	1	6
ECs0044	40	24	17
ECs0045	41	20	21
ECs0046	36	16	22
ECs0047	4	3	1
ECs0048	53	27	27
ECs0049	60	32	28
ECs0050	342	172	170
ECs0051	7681	3836	3846
ECs0052	1893	909	985
ECs0053	1046	870	877
ECs0054	2751	1779	1687
ECs0055	1741	912	830
ECs0056	4738	2520	2219
ECs0057	3213	1644	1569
ECs0058	11007	5383	5626
ECs0059	15634	7726	7911
ECs0060	1144	565	580
ECs0061	382	209	173
ECs0062	2926	1470	1457
ECs0063	13313	6695	6623
ECs0064	1019	504	517
ECs0065	80	35	46
ECs0066	207	112	97
ECs0067	71	57	58
ECs0068	126	64	62
ECs0069	960	533	523
ECs0070	465	265	295
ECs0071	725	365	360
ECs0072	2670	1373	1300
ECs0073	104	49	56
ECs0074	691	350	345
ECs0075	401	210	191
ECs0076	476	236	240
ECs0077	525	293	281
ECs0078	737	359	379
ECs0079	38	20	18
ECs0080	55	25	30
ECs0081	460	246	214
ECs0082	142	63	79
ECs0083	8	4	4
ECs0084	1215	587	629
ECs0085	4112	2120	1992
ECs0086	5086	2634	2452
ECs0087	728	391	337
ECs0088	2854	1475	1379
ECs0089	2309	1136	1173
ECs0090	2285	1199	1086
ECs0091	1109	549	561
ECs0092	1295	648	647
ECs0093	2021	987	1034
ECs0094	2174	1110	1064
ECs0095	2868	1428	1440
ECs0096	2161	1118	1043
ECs0097	2135	1104	1031
ECs0098	1999	1005	995
ECs0099	6918	3561	3358
ECs0100	46445	22997	23450
ECs0101	2623	1294	1329
ECs0102	11559	5885	5674
ECs0103	505	320	369
ECs0105	373	275	276
ECs0106	1187	596	593
ECs0107	793	390	404
ECs0108	2708	1380	1434
ECs0110	336	231	211
ECs0111	304	157	148
ECs0112	41	26	15
ECs0113	1591	795	802
ECs0114	364	188	181
ECs0115	472	286	299
ECs0116	857	487	484
ECs0117	19696	10117	9579
ECs0118	96109	48357	47765
ECs0119	50292	25342	24955
ECs0120	30689	15405	15366
ECs0121	670	359	387
ECs0122	13701	6963	6739
ECs0123	325	210	222
ECs0124	5364	2736	2738
ECs0125	8584	4324	4263
ECs0126	1639	804	835
ECs0127	484	256	233
ECs0128	8530	4296	4248
ECs0129	4568	2735	2846
ECs0130	10074	5574	5608
ECs0131	1466	741	822
ECs0132	978	475	505
ECs0133	206	97	109
ECs0134	1070	764	721
ECs0135	2505	1501	1419
ECs0136	211	104	107
ECs0137	5667	2850	2819
ECs0138	2155	1092	1064
ECs0139	1855	947	908
ECs0140	111	56	55
ECs0141	486	240	247
ECs0142	152	77	76
ECs0143	451	228	227
ECs0144	71	42	29
ECs0145	29	14	15
ECs0146	587	302	285
ECs0147	12488	6238	6255
ECs0148	1659	831	829
ECs0149	8131	4118	4013
ECs0150	263	136	127
ECs0151	371	222	206
ECs0152	2559	1287	1332
ECs0153	7043	3552	3491
ECs0154	874	459	416
ECs0155	245	131	114
ECs0156	109	55	54
ECs0157	233	184	167
ECs0158	3954	2080	1992
ECs0159	542	274	268
ECs0160	1264	723	695
ECs0161	1299	721	732
ECs0162	1115	569	547
ECs0163	3094	1548	1550
ECs0164	705	344	363
ECs0165	4417	2251	2168
ECs0166	236	135	125
ECs0167	997	513	508
ECs0168	2531	1295	1237
ECs0169	2371	1201	1175
ECs0170	4963	2448	2515
ECs0171	226370	114099	112296
ECs0172	83659	42684	40981
ECs0173	7643	3857	3786
ECs0174	16486	8418	8068
ECs0175	1733	901	834
ECs0176	17040	8660	8381
ECs0177	8668	4280	4388
ECs0178	15289	7840	7450
ECs0179	47832	23893	23943
ECs0180	23374	11809	11567
ECs0181	18634	9581	9054
ECs0182	9692	4933	4759
ECs0183	14102	7060	7044
ECs0184	6198	3144	3054
ECs0185	2113	1040	1073
ECs0186	14819	7546	7274
ECs0187	10787	5588	5199
ECs0188	886	432	454
ECs0189	173	84	89
ECs0190	814	533	508
ECs0191	384	287	323
ECs5365	555	276	281
ECs0192	841	410	433
ECs0193	420	226	194
ECs0194	788	418	373
ECs0195	206	112	96
ECs0196	14185	7137	7050
ECs0197	1310	662	649
ECs0198	1743	857	886
ECs0199	1547	779	768
ECs0200	525	253	272
ECs0201	755	362	393
ECs0202	860	439	421
rrsH	162	166	184
ileV	0	0	0
alaV	0	0	0
rrlH	2970	1974	1995
rrfH	0	0	0
aspU	38	18	20
ECs0203	1010	625	606
ECs0204	1260	739	744
ECs0205	1551	771	782
ECs0206	1347	803	789
ECs0207	44199	22383	22067
ECs0208	896	535	504
ECs0209	1100	815	792
ECs0210	982	692	726
ECs0211	2195	1086	1180
aspV	288	154	134
ECs5700	421	209	212
ECs0212	15	7	8
ECs0213	12	6	6
ECs0214	31	13	20
ECs0215	0	0	0
ECs0216	13	6	7
ECs0217	222	109	113
ECs0218	379	190	193
ECs0219	122	53	69
ECs0222	15	11	4
ECs0223	144	66	79
ECs0224	84	36	48
ECs0225	268	133	135
ECs0226	28	12	16
ECs0227	77	39	39
ECs0228	53	26	28
ECs0229	199	98	101
ECs0230	79	35	44
ECs0231	170	85	87
ECs0232	26	12	14
ECs0233	134	71	63
ECs0234	86	38	48
ECs0236	70	43	27
ECs0237	486	259	229
ECs0238	89	42	47
