alaV	0	0	0
rrlH	18	12	11
rrfH	0	0	0
aspU	6	2	4
ECs0203	388	251	281
ECs0204	880	542	482
ECs0205	1937	966	971
ECs0206	1290	727	689
ECs0207	80551	40970	39713
ECs0208	2447	1385	1333
ECs0209	1609	1212	1124
ECs0210	1076	781	825
ECs0211	2918	1516	1474
aspV	225	118	107
ECs5700	207	110	97
ECs0212	14	12	2
ECs0213	7	6	1
ECs0214	7	3	4
ECs0215	4	1	3
ECs0216	11	6	5
ECs0217	286	147	139
ECs0218	383	197	191
ECs0219	164	80	84
ECs0222	6	1	5
ECs0223	158	87	73
ECs0224	99	43	56
ECs0225	394	202	194
ECs0226	54	28	26
ECs0227	102	56	46
ECs0228	84	44	40
ECs0229	308	159	153
ECs0230	109	57	52
ECs0231	196	99	97
ECs0232	24	13	11
ECs0233	142	74	68
ECs0234	117	59	58
ECs0236	103	50	55
ECs0237	380	206	175
ECs0238	125	55	70
ECs0241	26	12	14
ECs0242	323	162	162
ECs0243	1	1	0
ECs0244	10	4	6
ECs0245	83	37	48
ECs0246	876	430	447
ECs0247	1164	604	625
ECs0248	2566	1308	1323
ECs0249	2315	1129	1188
ECs0250	2064	1496	1514
ECs0251	3555	2274	2229
ECs0252	616	283	333
ECs0253	1069	563	506
ECs0254	131	69	62
ECs0255	340	195	145
ECs0256	122	66	62
ECs0257	30	23	12
ECs0258	323	159	164
ECs0259	128	66	62
ECs0260	90	50	40
ECs0261	66	28	38
ECs0262	20	12	8
ECs0263	329	378	422
ECs0264	18505	9624	9354
ECs0265	4758	2433	2325
ECs0266	1543	769	775
ECs0267	4870	2581	2427
ECs0268	206	190	156
ECs0269	2937	1502	1436
ECs0270	3383	1683	1703
thrW	72	210	189
ECs0271	1311	840	810
ECs0272	66	32	34
ECs0273	1186	602	584
ECs0274	9233	4675	4568
ECs0275	36	22	24
ECs0276	37	18	19
ECs0277	54	28	26
ECs0279	6	3	3
ECs0280	51	26	25
ECs0281	31	29	21
ECs0282	11	13	17
ECs0283	13	8	9
ECs0284	59	44	47
ECs0285	1522	785	765
ECs0287	44	23	26
ECs0288	63	36	31
ECs0289	181	81	102
ECs0290	9	3	6
ECs0291	4	2	3
ECs0292	4	2	2
ECs0293	21	13	9
ECs0296	135	71	64
ECs0297	77	45	32
ECs0298	16	9	7
ECs0299	5	0	5
ECs0300	113	56	57
ECs0301	5	3	2
ECs0302	94	41	53
ECs0303	474	234	241
ECs0304	211	108	104
ECs0305	508	243	267
ECs0306	127	62	67
ECs0307	6	2	4
ECs0309	532	238	299
ECs0310	97	42	55
ECs0311	178	91	90
ECs0313	260	128	136
ECs0314	562	271	293
ECs0315	146	61	85
ECs0316	612	321	294
ECs0317	120	61	59
ECs0319	228	124	105
ECs0320	560	289	273
ECs0321	731	389	345
ECs0322	150	71	81
ECs0323	389	204	185
ECs0324	171	87	84
ECs0326	6	6	4
ECs5701	26	19	10
ECs0327	182	104	78
ECs0328	8	5	4
ECs0329	0	0	0
ECs0330	7	3	4
ECs0331	26	11	15
ECs0332	151	83	68
ECs0333	433	234	199
ECs0334	380	198	182
ECs0335	113	54	59
ECs0336	271	136	140
ECs0337	1267	651	617
ECs0338	467	245	222
ECs0340	27	14	13
ECs0342	549	276	273
ECs0343	160	76	84
ECs0344	111	47	64
ECs0345	219	97	123
ECs0346	65	37	28
ECs0348	4	5	1
ECs0349	4	3	1
ECs0350	12	5	7
ECs0351	35	18	17
ECs0352	58	28	30
ECs0355	34	22	12
ECs0356	0	0	0
ECs0357	445	222	223
ECs0358	587	296	292
ECs0359	353	188	165
ECs0360	849	401	449
ECs0362	511	275	239
ECs0363	554	312	276
ECs0364	507	283	259
ECs0366	0	0	0
ECs0367	54	22	32
ECs0368	9	4	5
ECs0369	31	14	17
ECs0370	179	86	93
ECs0371	177	88	89
ECs0372	83	38	45
ECs0373	224	109	115
ECs5377	37	14	24
ECs0374	360	190	171
ECs0375	322	153	169
ECs0377	192	108	84
ECs0378	1555	795	761
ECs0379	4991	2618	2375
ECs0380	35	18	17
ECs0382	221	109	112
ECs0383	8707	4409	4414
ECs0384	636	353	399
ECs0385	239	117	122
ECs0386	199	118	81
ECs0387	137	74	64
ECs0388	153	89	65
ECs0389	5863	2930	2935
ECs0390	8755	4545	4381
ECs0391	1398	800	773
ECs0392	71	40	34
ECs0393	41	25	16
ECs0394	423	274	297
ECs0395	3413	1760	1800
ECs0396	4394	2238	2160
ECs0397	34006	17281	16734
ECs0398	1290	638	653
ECs0399	458	223	235
ECs0400	332	155	177
ECs0401	248	127	123
ECs0402	47	30	19
ECs0403	25	11	14
ECs0404	41	23	18
ECs0405	22	13	9
ECs0406	49	30	19
ECs0407	34	15	19
ECs0408	102	52	50
ECs0409	531	285	261
ECs0410	1073	525	564
ECs0411	4390	2196	2197
ECs0412	1093	572	522
ECs0413	350	169	181
ECs0414	336	164	174
ECs0415	298	158	140
ECs0416	342	176	167
ECs0417	433	209	224
ECs0418	295	148	148
ECs0419	681	319	362
ECs0420	387	192	195
ECs0421	246	134	112
ECs0422	1338	716	680
ECs0423	4392	2219	2232
ECs0424	1365	684	682
ECs0425	49	33	39
ECs0426	1008	504	527
ECs0427	436	204	233
ECs0428	1361	841	807
ECs0429	1358	845	799
ECs0430	150	142	132
ECs0431	3692	1961	1857
ECs0432	1064	526	538
ECs0433	810	407	403
ECs0434	1943	970	973
ECs0435	359	255	283
ECs0436	2689	1454	1414
ECs0437	736	361	375
ECs0438	2442	1249	1193
ECs0439	1627	817	810
ECs0440	3435	1716	1720
ECs0441	2849	1423	1427
ECs0442	101	55	46
ECs0443	109	96	88
ECs0444	5292	2723	2653
ECs0445	168	97	91
ECs0446	597	318	291
ECs0447	1746	828	919
ECs0448	1116	560	571
ECs0449	979	485	507
ECs0450	999	509	490
ECs0451	4134	2081	2054
ECs0452	1356	658	698
ECs0453	314	163	151
ECs0454	217	173	175
ECs0455	773	462	524
ECs0456	2466	1265	1284
ECs0457	15752	8087	7670
ECs0458	8330	4176	4154
ECs0459	14413	7299	7116
ECs0460	4270	2153	2118
ECs0461	359	173	186
ECs0462	394	197	198
ECs0463	1657	786	883
ECs0464	7321	3637	3701
ECs0465	1292	648	651
ECs0466	758	374	391
ECs0467	1578	801	777
ECs0468	4562	2343	2220
ECs0469	5968	2977	2992
ECs0470	380	188	192
ECs0471	471	255	217
ECs0472	155	80	78
ECs0473	1478	727	752
ECs0474	6483	3232	3253
ECs0475	4861	2507	2354
ECs0476	698	347	354
ECs0477	7070	3581	3605
ECs0478	351	241	219
ECs0479	991	539	455
ECs0480	4706	2322	2424
ECs0481	1131	616	554
ECs0482	4171	2100	2072
ECs0483	1679	817	862
ECs0484	3250	1643	1608
ECs0485	24320	12402	11922
ECs0486	19226	9605	9626
ECs0487	2601	1359	1242
ECs0488	4291	2119	2173
ECs0489	13754	6967	6789
ECs0490	83308	41819	41494
ECs0491	12094	6120	5975
ECs0492	20979	10737	10245
ECs0493	24043	12269	11775
ECs0494	11067	5605	5463
ECs0495	13722	7053	6670
ECs0496	138	72	66
ECs0497	345	224	179
